Day,Edible,Waste,Combined,Cumulative
6/21/2018,4,12,16,16
6/24/2018,4,0,4,20
6/30/2018,2,1,3,23
7/2/2018,4,0,4,27
7/4/2018,1,1,2,29
7/5/2018,1,1,2,31
7/10/2018,1,0,1,32
7/12/2018,2,0,2,34
7/19/2018,0,1,1,35
7/21/2018,1,0,1,36
8/15/2018,1,5,6,42
8/16/2018,13,2,15,57
8/12/2018,2,5,7,64
8/21/2018,25,5,30,94
8/24/2018,13,14,27,121
8/25/2018,37,10,47,168
8/26/2018,0,0,0,168
8/27/2018,0,0,0,168
8/28/2018,0,0,0,168
8/29/2018,30,20,50,218
8/30/2018,15,0,15,233
8/31/2018,0,0,0,233
9/1/2018,0,0,0,233
9/2/2018,0,0,0,233
9/3/2018,30,30,60,293
9/4/2018,0,0,0,293
9/5/2018,28,16,44,337
9/6/2018,57,15,72,409
9/7/2018,0,0,0,409
9/8/2018,31,16,47,456
9/9/2018,28,12,40,496
9/10/2018,8,0,8,504
9/11/2018,10,4,14,518
9/12/2018,8,0,8,526
9/13/2018,0,0,0,526
9/14/2018,32,10,42,568
9/15/2018,40,20,60,628
9/16/2018,20,3,23,651
9/17/2018,15,5,20,671
9/18/2018,26,2,28,699
9/19/2018,17,3,20,719
9/20/2018,15,4,19,738
9/21/2018,18,6,24,762
9/22/2018,40,8,48,810
9/23/2018,40,10,50,860
9/24/2018,14,6,20,880
9/25/2018,39,17,56,936
9/26/2018,13,4,17,953
9/27/2018,27,8,35,988
9/28/2018,17,8,25,1013
9/29/2018,40,10,50,1063
9/30/2018,20,5,25,1088
10/1/2018,6,4,10,1098
10/2/2018,15,4,19,1117
10/3/2018,10,2,12,1129
10/4/2018,8,5,13,1142
10/5/2018,20,5,25,1167
10/6/2018,0,0,0,1167
10/7/2018,0,0,0,1167
10/8/2018,0,0,0,1167
10/9/2018,9,11,20,1187
10/10/2018,5,5,10,1197
10/11/2018,11,11,22,1219
10/12/2018,5,4,9,1228
10/13/2018,10,10,20,1248
10/14/2018,17,3,20,1268
10/15/2018,12,4,16,1284
10/16/2018,2,2,4,1288
10/17/2018,8,1,9,1297
10/18/2018,10,2,12,1309
10/19/2018,10,2,12,1321
10/20/2018,12,2,14,1335
10/21/2018,12,1,13,1348
10/22/2018,4,0,4,1352
10/23/2018,12,1,13,1365
10/24/2018,14,2,16,1381
10/25/2018,0,0,0,1381
10/26/2018,20,5,25,1406
10/27/2018,0,0,0,1406
10/28/2018,0,0,0,1406
10/29/2018,0,0,0,1406
10/30/2018,5,0,5,1411
10/31/2018,0,0,0,1411
11/1/2018,0,0,0,1411
11/2/2018,2,0,2,1413
11/3/2018,0,0,0,1413
11/4/2018,3,0,3,1416
11/5/2018,0,0,0,1416
11/6/2018,0,0,0,1416
11/7/2018,0,0,0,1416
11/8/2018,0,0,0,1416
11/9/2018,0,0,0,1416
11/10/2018,0,0,0,1416
11/11/2018,0,0,0,1416
11/12/2018,0,0,0,1416
11/13/2018,5,0,5,1421
11/14/2018,0,0,0,1421
11/15/2018,0,0,0,1421
